ROTATIONSHAPE

0,0,0;10,10,10 10,10,10;2,14,10 2,14,10;0,0,0 0,0,0;0,0,0 
-14,-2,10;-28,-4,20 -28,-4,20;-20,-20,20 -20,-20,20;-10,-10,10 -10,-10,10;-14,-2,10 
-28,-4,20;-42,-6,30 -42,-6,30;-30,-30,30 -30,-30,30;-20,-20,20 -20,-20,20;-28,-4,20 
-42,-6,30;-56,-8,40 -56,-8,40;-40,-40,40 -40,-40,40;-30,-30,30 -30,-30,30;-42,-6,30 
-56,-8,40;-70,-11,50 -70,-11,50;-50,-50,50 -50,-50,50;-40,-40,40 -40,-40,40;-56,-8,40 
-70,-11,50;-56,-8,60 -56,-8,60;-40,-40,60 -40,-40,60;-50,-50,50 -50,-50,50;-70,-11,50 
-56,-8,60;-42,-6,70 -42,-6,70;-30,-30,70 -30,-30,70;-40,-40,60 -40,-40,60;-56,-8,60 
-42,-6,70;-28,-4,80 -28,-4,80;-20,-20,80 -20,-20,80;-30,-30,70 -30,-30,70;-42,-6,70 
-28,-4,80;-14,-2,90 -14,-2,90;-10,-10,90 -10,-10,90;-20,-20,80 -20,-20,80;-28,-4,80 
-14,-2,90;0,0,100 0,0,100;0,0,100 0,0,100;-10,-10,90 -10,-10,90;-14,-2,90 
0,0,0;-10,-10,10 -10,-10,10;-2,-14,10 -2,-14,10;0,0,0 0,0,0;0,0,0 
-10,-10,10;-20,-20,20 -20,-20,20;-4,-28,20 -4,-28,20;-2,-14,10 -2,-14,10;-10,-10,10 
-20,-20,20;-30,-30,30 -30,-30,30;-6,-42,30 -6,-42,30;-4,-28,20 -4,-28,20;-20,-20,20 
-30,-30,30;-40,-40,40 -40,-40,40;-8,-56,40 -8,-56,40;-6,-42,30 -6,-42,30;-30,-30,30 
-40,-40,40;-50,-50,50 -50,-50,50;-11,-70,50 -11,-70,50;-8,-56,40 -8,-56,40;-40,-40,40 
-50,-50,50;-40,-40,60 -40,-40,60;-8,-56,60 -8,-56,60;-11,-70,50 -11,-70,50;-50,-50,50 
-40,-40,60;-30,-30,70 -30,-30,70;-6,-42,70 -6,-42,70;-8,-56,60 -8,-56,60;-40,-40,60 
-30,-30,70;-20,-20,80 -20,-20,80;-4,-28,80 -4,-28,80;-6,-42,70 -6,-42,70;-30,-30,70 
-20,-20,80;-10,-10,90 -10,-10,90;-2,-14,90 -2,-14,90;-4,-28,80 -4,-28,80;-20,-20,80 
-10,-10,90;0,0,100 0,0,100;0,0,100 0,0,100;-2,-14,90 -2,-14,90;-10,-10,90 
0,0,0;-2,-14,10 -2,-14,10;6,-12,10 6,-12,10;0,0,0 0,0,0;0,0,0 
-2,-14,10;-4,-28,20 -4,-28,20;12,-25,20 12,-25,20;6,-12,10 6,-12,10;-2,-14,10 
-4,-28,20;-6,-42,30 -6,-42,30;19,-37,30 19,-37,30;12,-25,20 12,-25,20;-4,-28,20 
-6,-42,30;-8,-56,40 -8,-56,40;25,-50,40 25,-50,40;19,-37,30 19,-37,30;-6,-42,30 
-8,-56,40;-11,-70,50 -11,-70,50;32,-63,50 32,-63,50;25,-50,40 25,-50,40;-8,-56,40 
-11,-70,50;-8,-56,60 -8,-56,60;25,-50,60 25,-50,60;32,-63,50 32,-63,50;-11,-70,50 
-8,-56,60;-6,-42,70 -6,-42,70;19,-37,70 19,-37,70;25,-50,60 25,-50,60;-8,-56,60 
-6,-42,70;-4,-28,80 -4,-28,80;12,-25,80 12,-25,80;19,-37,70 19,-37,70;-6,-42,70 
-4,-28,80;-2,-14,90 -2,-14,90;6,-12,90 6,-12,90;12,-25,80 12,-25,80;-4,-28,80 
-2,-14,90;0,0,100 0,0,100;0,0,100 0,0,100;6,-12,90 6,-12,90;-2,-14,90 
0,0,0;6,-12,10 6,-12,10;12,-6,10 12,-6,10;0,0,0 0,0,0;0,0,0 
6,-12,10;12,-25,20 12,-25,20;25,-12,20 25,-12,20;12,-6,10 12,-6,10;6,-12,10 
12,-25,20;19,-37,30 19,-37,30;37,-19,30 37,-19,30;25,-12,20 25,-12,20;12,-25,20 
19,-37,30;25,-50,40 25,-50,40;50,-25,40 50,-25,40;37,-19,30 37,-19,30;19,-37,30 
25,-50,40;32,-63,50 32,-63,50;63,-32,50 63,-32,50;50,-25,40 50,-25,40;25,-50,40 
32,-63,50;25,-50,60 25,-50,60;50,-25,60 50,-25,60;63,-32,50 63,-32,50;32,-63,50 
25,-50,60;19,-37,70 19,-37,70;37,-19,70 37,-19,70;50,-25,60 50,-25,60;25,-50,60 
19,-37,70;12,-25,80 12,-25,80;25,-12,80 25,-12,80;37,-19,70 37,-19,70;19,-37,70 
12,-25,80;6,-12,90 6,-12,90;12,-6,90 12,-6,90;25,-12,80 25,-12,80;12,-25,80 
6,-12,90;0,0,100 0,0,100;0,0,100 0,0,100;12,-6,90 12,-6,90;6,-12,90 
0,0,0;12,-6,10 12,-6,10;14,2,10 14,2,10;0,0,0 0,0,0;0,0,0 
12,-6,10;25,-12,20 25,-12,20;28,4,20 28,4,20;14,2,10 14,2,10;12,-6,10 
25,-12,20;37,-19,30 37,-19,30;42,6,30 42,6,30;28,4,20 28,4,20;25,-12,20 
37,-19,30;50,-25,40 50,-25,40;56,8,40 56,8,40;42,6,30 42,6,30;37,-19,30 
50,-25,40;63,-32,50 63,-32,50;70,11,50 70,11,50;56,8,40 56,8,40;50,-25,40 
63,-32,50;50,-25,60 50,-25,60;56,8,60 56,8,60;70,11,50 70,11,50;63,-32,50 
50,-25,60;37,-19,70 37,-19,70;42,6,70 42,6,70;56,8,60 56,8,60;50,-25,60 
37,-19,70;25,-12,80 25,-12,80;28,4,80 28,4,80;42,6,70 42,6,70;37,-19,70 
25,-12,80;12,-6,90 12,-6,90;14,2,90 14,2,90;28,4,80 28,4,80;25,-12,80 
12,-6,90;0,0,100 0,0,100;0,0,100 0,0,100;14,2,90 14,2,90;12,-6,90 
0,0,0;14,2,10 14,2,10;10,10,10 10,10,10;0,0,0 0,0,0;0,0,0 
14,2,10;28,4,20 28,4,20;20,20,20 20,20,20;10,10,10 10,10,10;14,2,10 
28,4,20;42,6,30 42,6,30;30,30,30 30,30,30;20,20,20 20,20,20;28,4,20 
42,6,30;56,8,40 56,8,40;40,40,40 40,40,40;30,30,30 30,30,30;42,6,30 
56,8,40;70,11,50 70,11,50;50,50,50 50,50,50;40,40,40 40,40,40;56,8,40 
70,11,50;56,8,60 56,8,60;40,40,60 40,40,60;50,50,50 50,50,50;70,11,50 
56,8,60;42,6,70 42,6,70;30,30,70 30,30,70;40,40,60 40,40,60;56,8,60 
42,6,70;28,4,80 28,4,80;20,20,80 20,20,80;30,30,70 30,30,70;42,6,70 
28,4,80;14,2,90 14,2,90;10,10,90 10,10,90;20,20,80 20,20,80;28,4,80 
14,2,90;0,0,100 0,0,100;0,0,100 0,0,100;10,10,90 10,10,90;14,2,90 
